similarity_rank,sample_a,sample_b,genus_braycurtis_distance
128,SRR23183349,SRR33853917,0.7424579382807837
129,SRR33963318,SRR8468865,0.7428348525909512
130,SRR33853917,SRR8468865,0.74345042182121
131,SRR23183349,SRR33963322,0.7435486079107798
132,SRR23183348,SRR33963317,0.745937244841745
133,SRR1825760,SRR5365029,0.7460267412281478
134,SRR23183368,SRR33963320,0.7471329888576899
135,SRR23183348,SRR33963324,0.7487030941690636
136,SRR1825760,SRR23183349,0.7492101363505121
137,SRR13342225,SRR23183368,0.7496680338821033
138,SRR13396103,SRR23183368,0.7496763119932048
139,SRR13342225,SRR23183348,0.7498096427429537
140,SRR13396103,SRR23183348,0.7499756567175765
141,SRR23183368,SRR33963323,0.7505454403115064
142,SRR23183368,SRR33963324,0.7510440868779349
143,SRR23183349,SRR33963319,0.7535377723646096
144,SRR23183368,SRR33963322,0.7535957446117953
145,SRR23183368,SRR33853917,0.7540440920248751
146,SRR23183349,SRR33963320,0.7544621747087288
147,SRR23183349,SRR33963318,0.7583201731297937
148,SRR23183348,SRR9830591,0.7592092136094201
149,SRR13342225,SRR33963317,0.7596814141972487
150,SRR23183368,SRR33963319,0.7603552489897144
151,SRR1825760,SRR23183368,0.7607479932277648
152,SRR13342225,SRR33963323,0.7608007760298008
153,SRR13396103,SRR33963323,0.7608600310345216
154,SRR12376372,SRR23183349,0.7609488771726133
155,SRR13396103,SRR33963317,0.7610731540055442
156,SRR23183368,SRR33963318,0.763070137593176
157,SRR23183348,SRR33853917,0.7665902343300359
158,SRR23183348,SRR33963323,0.7670253293453849
159,SRR23183348,SRR33963322,0.7705736773182948
160,SRR23183348,SRR33963320,0.7714050666372748
161,SRR12376372,SRR23183368,0.7715599979648392
162,SRR23183349,SRR33963321,0.7735097365279276
163,SRR23183348,SRR33963319,0.7769563830692795
164,SRR23183368,SRR33963321,0.7789976901550593
165,SRR23183349,SRR9093167,0.7799818681640066
166,SRR23183348,SRR33963318,0.7831876621125067
167,SRR12376372,SRR23183348,0.7838101040532333
168,SRR23183368,SRR9093167,0.789481392143351
169,SRR13342225,SRR33853917,0.7903530172430008
170,SRR13396103,SRR33853917,0.7915446677759231
171,SRR13342225,SRR9830591,0.7916952175803269
172,SRR26201960,SRR8468865,0.7925786578209257
173,SRR13396103,SRR9830591,0.793174886787224
174,SRR23183348,SRR9093167,0.7940880390755325
175,SRR23183348,SRR33963321,0.7944970985862735
176,SRR1825760,SRR8468865,0.7980029565814849
177,SRR12376372,SRR13342225,0.8035739546121018
178,SRR12376372,SRR13396103,0.805015476496423
179,SRR33963317,SRR5365029,0.8101158935557348
180,SRR33963320,SRR5365029,0.8140110497515654
181,SRR1825760,SRR26201959,0.8141978267641603
182,SRR1825760,SRR26201961,0.8143440525420274
183,SRR1825760,SRR33963320,0.8193128739185274
184,SRR5365029,SRR9830591,0.8202035188849305
185,SRR33963319,SRR5365029,0.8244289348215857
186,SRR13342225,SRR9093167,0.8266407382625188
187,SRR13396103,SRR9093167,0.8273198350841535
188,SRR13342225,SRR5365029,0.8298244076818274
189,SRR13396103,SRR5365029,0.8306916760337997
190,SRR13396103,SRR1825760,0.8310020229795925
191,SRR13342225,SRR1825760,0.8315516337895711
192,SRR1825760,SRR33963324,0.8324257102913044
193,SRR33853917,SRR5365029,0.8326649577275546
194,SRR33963323,SRR5365029,0.8332759453044432
195,SRR33963318,SRR5365029,0.8336309069519715
196,SRR1825760,SRR33963318,0.8340628763566995
197,SRR26201959,SRR33963317,0.8343423225096349
198,SRR26201961,SRR33963317,0.834617212885248
