sample,P|Proteobacteria,P|Actinobacteria,P|Firmicutes,P|Deinococcus-Thermus,P|Cyanobacteria,P|Chloroflexi,P|Armatimonadetes,P|Tenericutes,P|Coprothermobacterota,P|Gemmatimonadetes,P|Bacteroidetes,P|Chlorobi,P|Ignavibacteriae,P|Fibrobacteres,P|Planctomycetes,P|Verrucomicrobia,P|Kiritimatiellaeota,P|Lentisphaerae,P|Chlamydiae,P|Acidobacteria,P|Nitrospirae,P|Spirochaetes,P|Synergistetes,P|Aquificae,P|Thermotogae,P|Candidatus Saccharibacteria,P|Candidatus Gracilibacteria,P|Fusobacteria,P|Calditrichaeota,P|Elusimicrobia,P|Dictyoglomi,P|Thermodesulfobacteria,P|Chrysiogenetes,P|Deferribacteres,P|Chordata,P|Euryarchaeota,P|Thaumarchaeota
SRR12376372,9.78957744109589,8.782950293777311,6.385098383487098,4.775851243754003,4.082942477902326,4.082942477902326,-3.565528475445273,-3.565528475445273,-3.565528475445273,5.874304557698759,5.691998899514471,-3.565528475445273,-3.565528475445273,-3.565528475445273,5.468879195640836,5.181236867659611,-3.565528475445273,-3.565528475445273,-3.565528475445273,5.691998899514471,4.082942477902326,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,-3.565528475445273,7.340580475637701,4.775851243754003,-3.565528475445273
SRR13342225,7.018505864459054,8.569879523852663,6.761383336840995,1.417336015155339,3.074044089813307,5.3424066863193005,0.7260632998566745,0.7260632998566745,2.86281920894524,3.961136721784527,2.8022222179083247,0.03665454177626337,-4.861158460031659,-4.861158460031659,1.417336015155339,0.03665454177626337,-4.861158460031659,0.7260632998566745,-4.861158460031659,4.448094862609573,3.2075307415036143,-4.861158460031659,0.03665454177626337,1.6401042514137636,0.7260632998566745,-4.861158460031659,-4.861158460031659,-4.861158460031659,-4.861158460031659,2.919953061451337,-4.861158460031659,0.7260632998566745,-4.861158460031659,1.417336015155339,2.594691243431596,-4.861158460031659,-4.861158460031659
SRR13396075,11.267097378960646,4.640298456908,8.16545149403889,-2.049665799590054,3.948393831269885,2.5695225504123815,-2.049665799590054,2.5695225504123815,-2.049665799590054,-2.049665799590054,10.750247256362545,-2.049665799590054,-2.049665799590054,-2.049665799590054,3.6615392718481363,2.5695225504123815,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,-2.049665799590054,5.199381248306128,-2.049665799590054
SRR13396103,7.000014153932674,8.567294662264244,6.777106854237178,1.639275898429121,3.1197219514401953,5.346495283349751,0.7252301720037941,0.7252301720037941,2.9191270151487343,3.8996958219624807,2.801396060593069,0.03581350327187671,-4.8641138276484295,-4.8641138276484295,1.416506864867788,0.03581350327187671,-4.8641138276484295,0.7252301720037941,-4.8641138276484295,4.447269512071459,3.164158890893246,-4.8641138276484295,0.03581350327187671,1.639275898429121,0.7252301720037941,-4.8641138276484295,-4.8641138276484295,-4.8641138276484295,-4.8641138276484295,2.9191270151487343,-4.8641138276484295,0.7252301720037941,-4.8641138276484295,1.416506864867788,2.426915641959299,-4.8641138276484295,-4.8641138276484295
SRR1825760,6.5099429916215374,4.5207726706103974,5.135245842631122,2.0377749938353418,3.4134583291261764,3.7309418149438645,2.098388618872959,1.5678835248266072,-1.1359883370074115,1.85549082518484,5.4318230206972435,-1.1359883370074115,3.4394326043848347,-6.546925323368585,3.0184873998882313,1.9277958360838214,-6.546925323368585,0.4698692117209484,-1.1359883370074115,4.079914283340045,0.6520413081435841,3.7461507145764545,0.36460832390188713,-0.22238167541393672,0.36460832390188713,0.8750353767447336,-6.546925323368585,-1.8246780147032116,-1.8246780147032116,-0.22238167541393672,-0.7320134895555057,-0.44507738108893413,-6.546925323368585,-0.7320134895555057,-6.546925323368585,-6.546925323368585,-6.546925323368585
SRR23183348,5.401988507845303,4.112273795968131,4.18743006941285,1.278275356964179,1.6732228491609789,3.00537959779674,-0.6825161568118734,0.5207504997046284,-2.8717056897991853,1.5260803643640228,3.1666439869109086,-1.2694964057596199,-1.0874771787458624,-2.8717056897991853,3.5838527852340767,2.6487154690027808,-2.18307027490156,-2.8717056897991853,0.9480892075424361,3.4346247605127145,1.8014656745105686,-0.04700205637229171,-1.0874771787458624,-1.0874771787458624,-0.2410436217225147,0.8571362349695448,-2.18307027490156,-2.8717056897991853,-7.581880246580104,0.6458780253592797,-1.2694964057596199,-2.18307027490156,-2.8717056897991853,0.7570755406528358,-2.8717056897991853,-0.9335425047365034,-0.4820288284320604
SRR23183349,5.546490423297181,4.372664054722627,4.379314069825403,1.3440151734132089,2.8631778278170366,3.0855594399572417,-0.15092845317129377,0.27960637730936444,-2.707409034751006,1.7261729311792706,3.5506312536277167,-1.327990081334252,-0.9232918335861324,-2.707409034751006,3.63605866889156,2.808902881508098,-2.018840202961931,-2.018840202961931,0.6159469516700744,3.4980397482354046,1.7494273000341387,-0.23091210191238964,-1.614905881050202,-0.63599341195523,-0.31785368647843626,1.5030564942033742,-2.707409034751006,-2.707409034751006,-7.402967031430407,0.5026577668614243,-0.9232918335861324,-2.707409034751006,-7.402967031430407,0.5418643005281503,-2.018840202961931,-0.15092845317129377,-1.327990081334252
SRR23183368,5.4935217050161596,4.619972054789788,4.048810672152992,1.6299187362542424,1.5121499025869358,3.090454252755048,-0.5663973201568933,0.06911056771798396,-2.7554821402800833,1.7127973583255818,2.949119139693176,-1.376051323719114,-1.376051323719114,-1.6629684496324764,4.005008502368382,2.4283639413238114,-2.7554821402800833,-2.066905417858571,1.46959584541331,3.5120167483513995,1.525941473800012,0.45459987552146863,-1.6629684496324764,-0.4611389719067809,-0.27897068579864825,1.2058215172597944,-2.7554821402800833,-2.7554821402800833,-2.7554821402800833,0.5315336552113337,-1.1533670213543434,-2.7554821402800833,-7.4527611484014855,0.12623891895068873,-2.7554821402800833,-1.6629684496324764,-1.376051323719114
SRR26201959,5.4792547671009615,4.219951071027644,4.6875917113161885,3.5718175136166437,2.9482258998166637,3.5797854127670674,0.13082861217191688,2.7953287336057207,-6.714899061801074,1.6614706957624135,3.7869222965334464,-1.2522788573383616,-6.714899061801074,-1.9411925864649602,6.078780454730605,4.463795438257495,-0.8482288917881462,-1.2522788573383616,2.5047688850758627,4.118767824921865,1.3828312976426451,0.353759342498182,-1.2522788573383616,-1.2522788573383616,0.44899212162135616,3.1978665286192713,0.8234436553139455,-6.714899061801074,-6.714899061801074,0.5359389934666892,-1.2522788573383616,-1.9411925864649602,-6.714899061801074,-0.0025507931867085887,1.2287313213374773,-6.714899061801074,-6.714899061801074
SRR26201960,5.395368726003323,4.142026696391958,4.548867644108934,2.8239468119863247,2.268252093146905,3.4571626532228166,0.04464565877828086,1.8560702295669342,-6.732235476712504,1.142497775710404,3.9302337892287333,-2.026848774758073,-1.3382350624916812,-1.3382350624916812,6.240206185734433,4.5222743943512915,0.9602522620990683,-0.9342856891985116,2.7348256285666626,3.637418280500139,0.6727222586670258,0.04464565877828086,-2.026848774758073,-2.026848774758073,0.16230203926779474,2.869406041061062,-0.9342856891985116,-6.732235476712504,-6.732235476712504,0.16230203926779474,-0.6473623465702296,-2.026848774758073,-6.732235476712504,0.16230203926779474,1.9154829035519763,-6.732235476712504,-6.732235476712504
