sample,P|Proteobacteria,P|Actinobacteria,P|Firmicutes,P|Deinococcus-Thermus,P|Cyanobacteria,P|Chloroflexi,P|Armatimonadetes,P|Tenericutes,P|Coprothermobacterota,P|Gemmatimonadetes,P|Bacteroidetes,P|Chlorobi,P|Ignavibacteriae,P|Fibrobacteres,P|Planctomycetes,P|Verrucomicrobia,P|Kiritimatiellaeota,P|Lentisphaerae,P|Chlamydiae,P|Acidobacteria,P|Nitrospirae,P|Spirochaetes,P|Synergistetes,P|Aquificae,P|Thermotogae,P|Candidatus Saccharibacteria,P|Candidatus Gracilibacteria,P|Fusobacteria,P|Calditrichaeota,P|Elusimicrobia,P|Dictyoglomi,P|Thermodesulfobacteria,P|Chrysiogenetes,P|Deferribacteres,P|Chordata,P|Euryarchaeota,P|Thaumarchaeota
SRR12376372,0.6310272536687634,0.23060796645702322,0.02096436058700211,0.004192872117400422,0.002096436058700211,0.002096436058700211,0.0,0.0,0.0,0.012578616352201265,0.010482180293501056,0.0,0.0,0.0,0.008385744234800844,0.006289308176100633,0.0,0.0,0.0,0.010482180293501056,0.002096436058700211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054507337526205485,0.004192872117400422,0.0
SRR13342225,0.14430110387019549,0.6808086181673093,0.11158398723234472,0.0005319856363878175,0.0027929245910360413,0.026998271046681732,0.0002659928181939087,0.0002659928181939087,0.0022609389546482243,0.006782816863944672,0.00212794254555127,0.00013299640909695436,0.0,0.0,0.0005319856363878175,0.00013299640909695436,0.0,0.0002659928181939087,0.0,0.011038701955047211,0.0031919138183269047,0.0,0.00013299640909695436,0.0006649820454847718,0.0002659928181939087,0.0,0.0,0.0,0.0,0.0023939353637451783,0.0,0.0002659928181939087,0.0,0.0005319856363878175,0.0017289533182604068,0.0,0.0
SRR13396075,0.6072898885430263,0.0008032935033637916,0.027311979114368914,0.0,0.0004016467516818958,0.00010041168792047395,0.0,0.00010041168792047395,0.0,0.0,0.3621849583291495,0.0,0.0,0.0,0.0003012350637614218,0.00010041168792047395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014057636308866352,0.0
SRR13396103,0.14207650273224037,0.6810609089697451,0.11368785819005725,0.0006664001066240168,0.0029321604691456738,0.027189124350259886,0.0002665600426496067,0.0002665600426496067,0.0023990403838464605,0.006397441023590561,0.0021324803411968537,0.00013328002132480336,0.0,0.0,0.0005331200852992134,0.00013328002132480336,0.0,0.0002665600426496067,0.0,0.011062241769958679,0.0030654404904704776,0.0,0.00013328002132480336,0.0006664001066240168,0.0002665600426496067,0.0,0.0,0.0,0.0,0.0023990403838464605,0.0,0.0002665600426496067,0.0,0.0005331200852992134,0.0014660802345728369,0.0,0.0
SRR1825760,0.46830083565459596,0.064066852367688,0.11844011142061278,0.005348189415041781,0.021169916434540383,0.029080779944289682,0.005682451253481892,0.003342618384401113,0.00022284122562674089,0.004456824512534817,0.15933147632311973,0.00022284122562674089,0.021727019498607236,0.0,0.014261838440111417,0.004791086350974929,0.0,0.0011142061281337043,0.00022284122562674089,0.04122562674094706,0.0013370473537604453,0.029526462395543164,0.001002785515320334,0.0005571030640668522,0.001002785515320334,0.0016713091922005564,0.0,0.00011142061281337044,0.00011142061281337044,0.0005571030640668522,0.0003342618384401113,0.00044568245125348177,0.0,0.0003342618384401113,0.0,0.0,0.0
SRR23183348,0.43533296642817826,0.11986791414419372,0.12922399559713812,0.007044578976334617,0.010456796917996697,0.03962575674188222,0.0009906439185470555,0.0033021463951568514,0.00011007154650522838,0.009025866813428728,0.046560264171711614,0.000550357732526142,0.0006604292790313703,0.00011007154650522838,0.07066593285635663,0.027738029719317554,0.00022014309301045677,0.00011007154650522838,0.005063291139240506,0.0608695652173913,0.011887727022564666,0.0018712162905888828,0.0006604292790313703,0.0006604292790313703,0.0015410016510731975,0.004623004953219592,0.00022014309301045677,0.00011007154650522838,0.0,0.0037424325811777656,0.000550357732526142,0.00022014309301045677,0.00011007154650522838,0.004182718767198679,0.00011007154650522838,0.0007705008255365987,0.0012107870115575122
SRR23183349,0.4206073752711495,0.1300433839479392,0.13091106290672444,0.006290672451193055,0.028741865509761374,0.03590021691973968,0.0014099783080260297,0.002169197396963123,0.00010845986984815614,0.009219088937093271,0.05715835140997828,0.00043383947939262455,0.0006507592190889368,0.00010845986984815614,0.06225596529284162,0.027223427331887186,0.00021691973969631227,0.00021691973969631227,0.0030368763557483717,0.054229934924078065,0.009436008676789584,0.0013015184381778735,0.0003253796095444684,0.0008676789587852491,0.0011930585683297174,0.007375271149674617,0.00010845986984815614,0.00010845986984815614,0.0,0.0027114967462039032,0.0006507592190889368,0.00010845986984815614,0.0,0.0028199566160520594,0.00021691973969631227,0.0014099783080260297,0.00043383947939262455
SRR23183368,0.41927422859626223,0.17503259452411982,0.09887005649717506,0.008800521512385914,0.007822685788787477,0.03791829639287264,0.0009778357235984347,0.0018470230334637103,0.00010864841373315942,0.00956106040851803,0.0329204693611473,0.0004345936549326377,0.0004345936549326377,0.00032594524119947826,0.09463276836158187,0.019556714471968696,0.00010864841373315942,0.00021729682746631884,0.007496740547587999,0.057800956106040816,0.007931334202520637,0.0027162103433289856,0.00032594524119947826,0.0010864841373315942,0.001303780964797913,0.005758365927857449,0.00010864841373315942,0.00010864841373315942,0.00010864841373315942,0.0029335071707953047,0.0005432420686657971,0.00010864841373315942,0.0,0.0019556714471968694,0.00010864841373315942,0.00032594524119947826,0.0004345936549326377
SRR26201959,0.19762938622227444,0.05609670226499239,0.08954348081211128,0.029339279427297273,0.01572585377303134,0.02957399366271565,0.0009388569416735128,0.013496068536556745,0.0,0.004342213355239996,0.03638070648984862,0.0002347142354183782,0.0,0.0001173571177091891,0.35993428001408295,0.07158784180260534,0.00035207135312756725,0.0002347142354183782,0.010092712122990262,0.05069827485036969,0.0032859992958572948,0.001173571177091891,0.0002347142354183782,0.0002347142354183782,0.00129092829480108,0.020185424245980525,0.0018777138833470256,0.0,0.0,0.001408285412510269,0.0002347142354183782,0.0001173571177091891,0.0,0.0008214998239643237,0.002816570825020538,0.0,0.0
SRR26201960,0.18490524701500705,0.052798773140541114,0.07930770073392483,0.014130791981597102,0.008106035710373532,0.02661846861649687,0.0008763281849052467,0.005367510132544636,0.0,0.00262898455471574,0.042720999014130775,0.00010954102311315584,0.00021908204622631168,0.00021908204622631168,0.4303866798115893,0.07722642129477486,0.0021908204622631167,0.0003286230693394675,0.012925840727352388,0.03187643772592835,0.0016431153466973374,0.0008763281849052467,0.00010954102311315584,0.00010954102311315584,0.0009858692080184025,0.014788038120276039,0.0003286230693394675,0.0,0.0,0.0009858692080184025,0.00043816409245262336,0.00010954102311315584,0.0,0.0009858692080184025,0.005696133201884104,0.0,0.0
